t,nvme0_c,nvme1_c,gpu_c,gpu_mhz,ram_avail_gb
1789761567,62,61,51,1425,13
1789761571,62,59,52,1425,13
1789761574,62,61,53,1425,12
1789761577,62,65,54,1425,10
1789761580,63,66,53,210,9
1789761583,63,66,52,210,10
1789761586,64,66,52,210,11
1789761589,64,67,52,210,10
1789761592,64,67,52,210,8
1789761595,64,68,53,210,7
1789761598,64,68,53,210,6
1789761601,64,68,53,210,5
1789761604,64,68,53,210,5
1789761607,64,68,57,1995,4
1789761610,64,69,59,1875,4
1789761613,64,69,59,1965,4
1789761616,64,69,61,1560,4
1789761620,64,69,60,2010,3
1789761623,64,69,63,1537,2
1789761626,64,69,62,1897,1
1789761629,64,69,63,1897,1
1789761632,64,70,60,1425,0
1789761635,65,71,60,1425,0
1789761639,65,71,59,1425,0
1789761643,65,71,61,1425,0
1789761646,65,72,60,1425,0
1789761649,65,72,63,1950,0
1789761652,65,72,61,1425,0
1789761656,65,73,63,2002,0
1789761659,65,73,62,1635,0
1789761662,65,74,62,1687,0
1789761666,66,74,61,1425,0
1789761669,66,74,61,1425,0
1789761672,66,74,63,1822,0
1789761675,66,75,63,1635,0
1789761679,66,75,63,1830,0
1789761682,66,75,64,2002,0
1789761685,67,76,64,2002,0
1789761689,67,76,64,1470,0
1789761692,67,76,64,2002,0
1789761695,67,76,64,1680,0
1789761699,67,76,65,2002,0
1789761702,67,76,65,1987,0
1789761705,68,76,66,1605,0
1789761709,68,76,67,1732,0
1789761712,68,76,67,1800,0
1789761716,68,76,64,1425,0
1789761722,68,76,63,1425,0
1789761728,68,76,62,1425,9
